timestamp,voltage,amperage,x_pos,y_pos,x_vel,anomaly
2014-05-01 14:00:00,220.63650910250877,129.62075978293967,0,0.0,0.19282395941777114,0.0
2014-05-01 14:00:03,218.77442637980965,131.67996405486235,1,0.0,0.2091478941930372,0.0
2014-05-01 14:00:06,220.52501035468902,131.5989928229033,2,0.0,0.2093146322837574,0.0
2014-05-01 14:00:09,220.44899560797316,128.4716944070037,3,0.0,0.2053811762837013,0.0
2014-05-01 14:00:12,220.360972909614,129.87608060811522,4,0.0,0.19926765714068295,0.0
2014-05-01 14:00:15,220.15602255350365,128.78586321328925,5,0.0,0.19632405860871457,0.0
2014-05-01 14:00:18,220.87202257956093,129.0225320773682,6,0.0,0.20081465046730382,0.0
2014-05-01 14:00:21,218.28430604151555,129.55788549637276,7,0.0,0.20642257941297976,0.0
2014-05-01 14:00:24,220.08142682986406,128.22949892247286,8,0.0,0.19839052666231155,0.0
2014-05-01 14:00:27,217.4834288402455,130.8275481903532,9,0.0,0.19276508600659892,0.0
2014-05-01 14:00:30,220.21613686373408,130.64759698120656,10,0.0,0.2005450041338156,0.0
2014-05-01 14:00:33,219.0578051668468,128.46506035663032,11,0.0,0.19695372398413416,0.0
2014-05-01 14:00:36,219.08046576513203,129.51562389527962,12,0.0,0.20077786321317329,0.0
2014-05-01 14:00:39,219.73606133292407,127.44449424451793,13,0.0,0.19981777510315435,0.0
2014-05-01 14:00:42,221.14102686556086,128.8888309804242,14,0.0,0.19467149561672165,0.0
2014-05-01 14:00:45,220.6390884270455,129.53142763763069,15,0.0,0.19359559072580876,0.0
2014-05-01 14:00:48,219.90603879703394,130.48766935385544,16,0.0,0.19566064081020818,0.0
2014-05-01 14:00:51,218.93824861984004,129.37740939343166,17,0.0,0.19288927969317973,0.0
2014-05-01 14:00:54,219.93352915535505,132.4248745489578,18,0.0,0.20455756653605348,0.0
2014-05-01 14:00:57,219.6135237561987,130.242278324515,19,0.0,0.20247689015685144,0.0
2014-05-01 14:01:00,221.8986293890171,129.6247353978972,20,0.0,0.19746256882245095,0.0
2014-05-01 14:01:03,219.3708081641855,130.15965466346185,21,0.0,0.19588505339446358,0.0
2014-05-01 14:01:06,219.7595238430283,128.7076993841521,22,0.0,0.200676526724112,0.0
2014-05-01 14:01:09,217.70498301330684,128.78470383688543,23,0.0,0.19706654671945797,0.0
2014-05-01 14:01:12,221.56689112082603,131.83764244781463,24,0.0,0.2124997281336224,0.0
2014-05-01 14:01:15,220.52842974160697,129.18167847776115,25,0.0,0.20881820865755887,0.0
2014-05-01 14:01:18,219.84622707797922,129.94501213665194,26,0.0,0.2011115949428095,0.0
2014-05-01 14:01:21,220.0936020810409,129.87756575512324,27,0.0,0.19625339449473989,0.0
2014-05-01 14:01:24,220.37149353437374,130.80075747122854,28,0.0,0.1999151087164156,0.0
2014-05-01 14:01:27,219.38956393313413,128.88310458991145,29,0.0,0.20322265339563228,0.0
2014-05-01 14:01:30,220.27218944609925,128.18935720264867,30,0.0,0.19243374370434294,0.0
2014-05-01 14:01:33,220.856085715075,131.3074038573242,31,0.0,0.2003012682756977,0.0
2014-05-01 14:01:36,219.84647639020233,130.49343576786748,32,0.0,0.2033859135586771,0.0
2014-05-01 14:01:39,219.1716900971524,129.6128481833749,33,0.0,0.20526606046279117,0.0
2014-05-01 14:01:42,219.78687191450132,130.72843764232115,34,0.0,0.198840576124132,0.0
2014-05-01 14:01:45,219.6768303160338,131.4191670773647,35,0.0,0.20868022046612641,0.0
2014-05-01 14:01:48,220.11528943831357,129.71114545504483,36,0.0,0.2035294866340079,0.0
2014-05-01 14:01:51,218.7201630210939,130.02537419559414,37,0.0,0.20081571219068642,0.0
2014-05-01 14:01:54,220.13254780302077,131.0669499629699,38,0.0,0.1979162967825264,0.0
2014-05-01 14:01:57,219.93514696639804,129.02928833885068,39,0.0,0.20063121484376698,0.0
2014-05-01 14:02:00,221.45221601546126,127.44148828139517,40,0.0,0.18845379304668153,0.0
2014-05-01 14:02:03,220.27864010892054,129.86954936421463,41,0.0,0.2030801264406354,0.0
2014-05-01 14:02:06,219.8326233050944,131.01401942425764,42,0.0,0.20122254206137158,0.0
